,this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
209,210,British Sounds,Jean-Luc Godard,1969,54,"[""TITLE: British Sounds"", ""TEXT PLACEHOLDER 210"", ""<P>"", ""Finally, some <I>noise</I>! You're going to fall in love with the way this film sounds after the first ten minutes in a factory. This makes you want to pause the film and listen to a Judas Priest album to warm up and then restart just to listen to the <I>metal</I>. Hypnotic factory noises with occasional readings from <I>The Communist Manifesto</I>. A naked woman on screen (again you had to bring your laptop to the coffee shop...) while someone reads political tracts. A television news reader reads an old-school right-wing reactionary tract ranting about communists and socialists ruining the world. Then we get some cringey Beatles parodies, turning them into filk songs from someone's labor solidarity meetup. And finally we get the closing image of a few minutes of <I>fists punching through a bunch of Union Jacks</I>. Fuck yeah! You're ready to put the vegan Docs in your closet that you never quite finished breaking in back on your feet and then go start an Oi band after watching this. Let's go find the asshole that sprayed NF propaganda shit from a stencil onto your back alley and give him a good stiff kick in the yarbles!"", ""<P>"", ""Fifty-four minutes this would have been if you didn't replay the beginning part a few times for emphasis while on an exercise bike. (This is a <I>great</I> film if you want to pedal furiously for forty-five minutes and then cool down.) "", ""<P>"", ""You're a fan of sound collage, and you are happy to have some noise experiments under your belt. You have a side project as \""Crabcakes the Christian Clown\"" and put out ambient/noise tracks under that name. Most of these started as conceptual projects, but you decided to actually record them (with a minimum of effort), mostly so you could claim to people that you also perform as Crabcakes the Christian Clown. The first two you recorded were all sound collage pieces formed from found sound/resourced pornography. One track is an hour-long endeavor from an especially formulaic series of pornographic gonzo videos which all share the same obnoxious narrator/cameraman talking throughout. You layered about a dozen of these on top of each other and it literally sounds like hell. It sounds like a gymnasium full of people having rough, unpleasant sex while onlooking idiots shout encouragement and instructions."", ""<P>"", ""Another shorter piece, entitled \""Who Are You\"" is nothing but the interview parts of a bunch of first time/casting videos, most of them for <I>extremely</I> mature or very large women. The videos themselves are mostly innocuous, with some spicy personal questions thrown in the mix."", ""<P>"", ""Another project is called \""Ted\"", which is a simultaneous overlay of about a dozen TED talks at once of about fifteen minutes apiece. It sounds like a dozen people mainsplaining how business works at once to you. Another is similarly composed of model train videos."", ""<P>"", ""Your favorite of the bunch, however, is a track composed of 70 or so instructional videos on how to make balloon animals. All of them share the same soundtrack, with a unique beginning, repeating musical theme, and a closing tune played on a calliope. Every time the calliope music sounds, a balloon animal gets its soul. This is what you do in your spare time for fun. So of course you're going to love this film. Of course you are.""]",Time to choose something different:,The factory sounds from the start of this movie are a treat for the ears. I wonder what a slaughterhouse would sound like...,Love the chaotic parts. Got anything with really messy eaters?,"After watching this, I'm convinced that the Dahomey Amazons would benefit from having a labor union!",133,160,57,https://en.wikipedia.org/wiki/British_Sounds,https://www.imdb.com/title/tt0065494/,NONE
210,211,Le Petit Soldat,Jean-Luc Godard,1963,88,"[""TITLE: Le Petit Soldat"", ""TEXT PLACEHOLDER 211"", ""<P>"", ""This is an early Godard oddity. about a French deserter who gets caught up between sides during the Algerian war. He ends up temporarily working with one of the right-wing French terrorist groups to try to make money to get out of his miserable situation, but ends up digging himself deeper. The plot is complicated and a bit confusing, but he falls in with a woman who turns out to be an Algerian sympathizer, while at the same time the group he's working with is trying to get him to assassinate Algerians and even doing so themselves and using him as a patsy for them. He ends up getting kidnapped and tortured by the Algerians and his girlfriend is murdered and everything eventually skids to kind of a miserable end."", ""<P>"", ""One funny thing that stuck with you from years ago that stuck with you was brought to the forefront of your brain on watching this film. When the baddies decide to frame him for murder, they use his car and tap a sort of shave-and-a-haircut code on his car horn, signifying \""Alg\u00e9rie fran\u00e7aise\"". From reading Frederick Forsythe's <I>Day of the Jackal</I> years ago, you recall this being a real pattern people would tap out on their car horns to indicate their support for the war and opposition to Algerian independence. You find it remarkable that anything from that book would stick with you this many years later and be useful. You recall having read most of that novel in the same armchair in the public library in your hometown. You did quite a lot of reading in that spot, and it brings back happy memories.""]",Time to choose something different:,So did the paratroopers in Algeria ever jump out of blimps?,This had so much potential for slapstick hijinks but never delivered,"Okay, the OAS suck, but they got nothing on the Khmer Rouge...",100,42,111,https://en.wikipedia.org/wiki/Le_petit_soldat,https://www.imdb.com/title/tt0054177/,NONE
211,212,Les Carabiniers,Jean-Luc Godard,1963,80,"[""TITLE: Les Carabiniers"", ""TEXT PLACEHOLDER 212"", ""<P>"", ""This is another early strange Godard one, just starting to get a little experimental and playful. It's basically about two yokel dipshits who join the army for all the wrong reasons, which often seems to be why a lot of people join the army. They have a pretty good time while the army is winning, but run into tougher luck once the tide turns."", ""<P>"", ""Eventually they rejoin the girls they left back home, who are eager to see what loot they brought back from the poor people in other lands who weren't sufficiently able to defend their stuff. Even though they spent much of the film looting and menacing civilians, most of their surviving loot is in the form of boxes of postcards with images of the places they had been (or could have gone to). They spend a good amount of time with their girlfriends, flipping over picture postcards and announcing the locations to those who had been back home awaiting them. Yes, it seems most of the film was just done waiting to get to this pivotal scene. And it's a good one. The yokels seem almost as proud of bringing back pictures of the Taj Mahal as they would of bringing back the treasures of the Taj Mahal itself."", ""<P>"", ""The soldiers never get any other pay for their troubles besides their photos and memories. Since they lost the war, their paychecks are void. And they end up being rounded up and shot for being on the losing side to boot, which is as close to this one is going to come to a happy ending. This one is nasty and cynical even for Godard, though still a bit funny and not entirely without a soul.""]",Time to choose something different:,It's always heartwarming to see two creepy French idiots somehow manage to be a hit with the ladies!,"Forget the Army, just join a hockey team instead!","If you're an unskilled young person, there are two places always willing to hire fuckups and train them up to do something slightly better: the Army and fledgling punk rock bands!",222,115,214,https://en.wikipedia.org/wiki/The_Carabineers,https://www.imdb.com/title/tt0056905/,NONE
212,213,The Decline of Western Civilization,Penelope Spheeris,1981,100,"[""TITLE: The Decline of Western Civilization"", ""TEXT PLACEHOLDER 213"", ""<P>"", ""Like most good punks, you've never seen this all the way through in one setting. This is the movie your friends put on and you watch through Black Flag and The Germs and then your short attention span means you wander away to do something else or get drunk and pass out or whatever. Or you end up waking up after passing out after some well-meaning person popped this in the VCR and you wake up most of the way through it just in time to see Fear sneering at the crowd and belting out a couple of their snotty favorites."", ""<P>"", ""You saw this for the first time early, but you saw <I>Clue</I> first so Lee Ving got to be Mr. Boddy for a few years before he got to be the front man of Fear. So every view of this for you has left you saying, \""Hey, that's Mr. Boddy from the <I>Clue</I> movie!\"" The same goes for Fear's notorious SNL appearance. And every subsequent viewing of Clue has left you saying, \""Hey, that's Lee Ving from Fear!\"" And it's one of those cultural moments of symmetry that has been mutually beneficial for both works in your eyes."", ""<P>"", ""Years later when you did campus radio, a third piece of the equation would drop into place for you. One evening your punk friend from high school would be visiting your show and between songs you would be poring through the stacks of CDs and vinyl, one of the greatest perks for having a show. Your friend would uncover a strange album by James White and the Blacks, featuring a pompadoured man with a saxophone on the cover. You threw it on and it sounded like nothing else you had heard in your life. A little further digging in the stacks led you to a Christmas track by the same band, \""Christmas with Satan\"", which you immediately put on the air, replaying it a few times to and finding yourself a bit in awe."", ""<P>"", ""Some further crate archaeology revealed to you another vinyl by another instantiation of the same band, James Chance and the Contortions. And some additional reading revealed them to be a staple of New York \""no-wave\"" music during the punk era, and you fell in love with their crazy, saxophone heavy tracks. Another doorway had been kicked open for you. And it also made the context for another infamous song click into place. Fear had a song called \""New York's Alright If You Like Saxophones\"", and all of a sudden this made <I>so</I> much more sense to you. Something about punk music makes it possible to have a love/hate relationship with different kinds of punk scenes and love the fact that they \""hate\"" each other so much, especially when they can intelligently and hilariously take the piss out of each other like this."", ""<P>"", ""You were more than happy to ride the fence on all kinds of \""rivalries\"" between punk and the things punk was mocking. You loved Pink Floyd but you were happy to hate it along with Richard Hell. You liked a lot of New Wave music but found it hilarious when The Dicks or the Dead Milkmen would write entire songs about how much they hated the genre. Even disco would leave you shaking your butt while agreeing that it was generally bad dance music for druggies and degenerates. Punk in its early form was reactionary against a lot of music that was actually quite good, so it was worth using early punk opinions as listening suggestions. There's nothing more punk than doing the opposite of what a cultural authority tells you to do, after all."", ""<P>"", ""The one area you could agree on, though, was that Nazi punks could indeed fuck off. No arguing with that one.""]",Time to choose something different:,Those young punks could use some discipline...bet the army would sort them out!,Wonder what the distance record is for the longest stage-dive?,Wisconsin seems like a pretty good place to travel to watch the decline of western civilization up close!,89,81,59,https://en.wikipedia.org/wiki/The_Decline_of_Western_Civilization,https://www.imdb.com/title/tt0082252/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheDeclineOfWesternCivilization
213,214,What We Do Is Secret,Rodger Grossman,2007,92,"[""TITLE: What We Do Is Secret"", ""TEXT PLACEHOLDER 214"", ""<P>"", ""You're going to watch this one after letting your Tubi or whatever play for too long and start the next recommended movie after playing the previous one. Tubi figured out that you like Punk music, so it won't stop recommending this Germs biopic to you. You usually don't like biopics but the movie started and they're playing one of your favorite Germs tracks on the opening credits and you are just rolling with it. "", ""<P>"", ""One of the key parts of the Germs mythos (which is portrayed in this film and in <I>The Decline of Western Civilization</I>, if memory serves you well) is the concept of the Germs burn. Darby Crash, who was idiotically self-destructive, would burn his wrist with cigarettes on occasion. There was a bit of mythos about this where for hardcore Germs fans, Darby would put out his cigarette on someone else's wrist, and then they would have a \""Germs burn\"" that they could pass on to another person. It was like a stupid self-harm version of Six Degrees of Kevin Bacon or the Erd\u0151s Number for mathematicians. This of course had a bit of a bastardization where you could also just do this for yourself if there weren't any other Germs fans to do it for you, sort of like a layman doing last rites."", ""<P>"", ""This seemed like a dandy idea to you as a young idiot. You were already doing self-destructive shit like that during some of your own depressive jags as a way of coping. Sometimes a quick burst of pain would be a good way to kick whatever self-preservation instinct was still rattling around inside your dried-out carcass of a psyche into gear. The whole Nine Inch Nails \""I hurt myself today to see if I still feel...\"" nonsense. You put out a good amount of cigarettes and matches on your wrists and arms over the years while feeling like shit. It was therapeutic and relatively harmless. Usually it would be matches, which were less likely to leave a mark and healed cleaner when they did. Plus you were too cheap to waste any of a cigarette during the brief period where you smoked. You didn't even like getting filtered cigarettes since it seemed like a scam and a waste. You were a self-destructive punk idiot, but at least you were a frugal one.""]",Time to choose something different:,That Germs burn thing would be a great idea for cult initiation!,"You know what's really punk? British imperialism! (Okay, I guess that's not very punk at all but that's what's next!)",Love the Germs logo. Nice and round--reminds me a bit of a mandala...,17,84,87,https://en.wikipedia.org/wiki/What_We_Do_Is_Secret_(film),https://www.imdb.com/title/tt0384683/,https://tvtropes.org/pmwiki/pmwiki.php/Film/WhatWeDoIsSecret
214,215,Made In U.S.A.,Jean-Luc Godard,1966,90,"[""TITLE: Made In U.S.A."", ""TEXT PLACEHOLDER 215"", ""<P>"", ""This is Godard being weird. It's not as wacky as it could be, like <I>Alphaville</I>, but it's still a bit wacky. Anna Karina is a sort of hard-boiled James Bond secret agent who is investigating some suspicious death or some nonsense like that. There's a Godard-like plot that involves commies and secret tapes and shit like that. It's like watching grown-ups play \""spy\"", but with radical politics and cooler fashion choices. They run around talking about going to places like New Atlantic City and having dramatic hushed conversations about secret murder plots and cassette tapes and such nonsense, but mostly they're running around Paris looking pretty and tragic and spouting Marxist -isms with a very loose pasted-together plot."", ""<P>"", ""When you were a kid, you wanted to go into some sort of espionage career. You and your friends or cousins your age would play spy. You and your cousin would both want to be James Bond, so you came to the agreement that one of you would be Sean Connery and the other would be Roger Moore. You usually wanted to be Roger Moore since you thought he ended up with better looking women, which was most of the reason to be a spy in the first place, besides the cool gadgets. GI Joe got to drive some pretty badass looking military vehicles, but a good chunk of your family was already military so that didn't seem exotic, and you knew from your uncles' experiences that at best they might let you drive an officer around in a jeep sometimes. James Bonds at least got Aston Martins. And they got to drink on the job, something that seemed unwise to be doing while getting your ass ungloriously shot at in southeast Asia. Plus you never knew James Bond to get tuberculosis, which nearly killed your uncle during his first jaunt abroad."", ""<P>"", ""You entertained the idea of having this sort of career for longer than you probably should have. The promise of achieving escape velocity from the area of Indiana you were in was a good lure, but part of you knew this could be achieved with any kind of college degree and/or a sufficiently ambitious desire to do so. Your father had lived all over the country, after all. The military certainly would have done this for you, whether you liked it or not. But you also knew that military life wasn't for your father and you were pretty sure you would dislike it in a somewhat different way. There was some lure since from what you had read a lot of intelligence careers started in the armed forces, but that sounded decidedly not fun. Eventually you gave up on the idea, and then ended up applying to the service academies and ROTC anyway once it became unclear how the fuck you were going to pay for college."", ""<P>"", ""Your grades were good enough to avoid this, beyond the bare minimum of taking a few token ROTC classes to insure you'd be ready to be pressed into service as part of the Military-Industrial Complex at some later date as necessary. Thank fuck for scholarships and needs-based financial aid. ""]",Time to choose something different:,I do love films with a strong young lady as protagonist!,"I like Godard's ""Weekend"" better. Show me something with more despicable people, some clowning around, and a bit of cannibalism!",Travel seems like a pain and inconvenience. They could have avoided a lot of this mess if they had just stayed in Paris.,122,56,142,https://en.wikipedia.org/wiki/Made_in_U.S.A._(1966_film),https://www.imdb.com/title/tt0060647/,NONE
215,216,Antoine et Colette,François Truffaut,1962,32,"[""TITLE: Antoine et Colette"", ""TEXT PLACEHOLDER 216"", ""<P>"", ""This is a shortish film by Truffaut that is the second of five films he did telling the story of Antoine Doinel. This uses the same child actor as he used in <I>The 400 Blows</I>, who grew up to be grown-up actor Jean-Pierre L\u00e9aud. This is JPL in the awkward years, no longer a scrawny kid, but not yet a scrawny adult. It is delightfully cringey with even more of a hint of autobiographical Truffaut adolescence hinted at in the story. This time you get to watch this unfortunate former idiot kid sent to juvie fail painfully with a girl, despite his best efforts to ingratiate himself with her family."", ""<P>"", ""This film is short and fairly low-stakes and it's just the right mix of pathetic and funny to succeed at being a little touching. L\u00e9aud was quite literally born to play roles like this. He's not obnoxious enough to hate or even dislike, but seeing him try too hard or in the wrong ways or succumb to the wrong temptations is more realistically heart-breaking than to see it happen to people whose characters don't deserve their consequences at all. You can't help but want the little creep to succeed at <I>something</I> and maybe dodge a <I>few</I> more consequences than he's always dodging, but most of his journey through the Doinel films feels like he's earning his Aesop lessons."", ""<P>"", ""You wonder how your father's life might have been different if he'd paid more attention and watched these films as a kid. Your dad wasn't a bad guy and he was certainly a lot luckier and had a better head on his shoulders than Antoine Doinel, but he was also prone to a lot of the same weaknesses. He mostly grew out of it and ended up a family man with two loving children, but a little fore-wisdom could probably have saved him a lot of heartache and embarrassment. Every Doinel film has you horrified at how cringily awful things can go followed by a lot of self-inflicted consequences by blissfully ignoring problems as they pile up, falling to foolish temptations, or doing the worst thing possible in response to the actual crises. ""]",Time to choose something different:,Needs more madrigals.,"It's nice seeing a man pursue something he's passionate about, whether it's a girl or a shark!",Maybe Antoine should have written Colette a fan letter...,103,187,19,https://en.wikipedia.org/wiki/Antoine_and_Colette,https://www.imdb.com/title/tt1180329/,https://tvtropes.org/pmwiki/pmwiki.php/Film/AntoineAndColette
216,217,Suburbia,Penelope Spheeris,1983,94,"[""TITLE: Suburbia"", ""TEXT PLACEHOLDER 217"", ""<P>"", ""This is one of two films by this name which you always get confused. This particular one is <I>Suburbia</I> by Penelope Spheeris, who directed <I>Decline of Western Civilization</I> and, later, <I>Wayne's World</I> of all things. The other one is the Richard Linklater film <I>SubUrbia</I> (notice the capital-U) which was based on a play by Eric Bogosian. Several of your friends have seen one or the other of these and recommended them to you over the years, but you couldn't be sure which was being recommended and they somehow blurred into one film. This is the punk-punk one, where a bunch of punk runaways and fuckups all live in the same house and share a living space slightly less squalid than some of your friends' houses over the years (see section 183)."", ""<P>"", ""The only thing more squalid than the conditions of a communal punk living space is the conditions of the punks themselves. When you were a cabbie, you ended up hanging out one night with a guy who was good friends with some of your weirdest friends, a very easygoing and rather charismatic guy named Stan who had recently gotten out of jail. Your friends were otherwise occupied that night, so you and Stan shared a pitcher and 2am rolled around too soon. Stan asked for a ride home and offered that he had a couple of beers cold in his fridge if you wanted to keep the night rolling and he'd see if he could roust anyone else to show up and hang out as well. Stan unlocked the door to the house he shared with a couple of other guys, and as soon as you walked in you were greeted by a horrifying sight. Stan's housemate, a small unkempt shirtless man, was lying motionless on the couch, mouth agape and eyes wide open, a needle hanging out of his arm. Stan called his name a few times, but the man didn't respond at all. Your blood ran cold and you froze in the doorway, not sure what to do."", ""<P>"", ""Stan strode forward and slapped his housemate in the face very hard a few times. \""HEY MOTHERFUCKER WAKE UP,\"" he demanded. His housemate blinked his eyes, and Stan gave him another slap for good measure. \""What the fuck are you doing?\"" Stan asked him angrily. \""Do that shit in your own room, you fucking junkie prick! What the fuck if I had brought a girl home? What then? Clean this shit up!\"""", ""<P>"", ""Stan's roommate started to put his works away and just then the doorbell rang. It was the pizza guy. His roommate staggered over to the door, still shirtless, and dug in his pocket for a couple of bills to give the pizza guy. Apparently he had gotten impatient while waiting for his pizza and decided to nearly overdose to kill time before its arrival. Stan grabbed a couple of beers out of the fridge still swearing to himself while you tried to calm down. It may have been the first time you would think you had found a dead junkie, but it wouldn't be the last, and some of the others never woke up. At least you didn't have to call 911 to figure it out.""]",Time to choose something different:,Maybe those punks would have fared better in Wisconsin!,Those stray dogs looked pretty ragged. Wonder what their story is...,"In Soviet Russia, hooligans like this would have been shipped off to Siberia!",59,121,101,https://en.wikipedia.org/wiki/Suburbia_(film),https://www.imdb.com/title/tt0086589/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Suburbia1983
217,218,SubUrbia,Richard Linklater,1996,121,"[""TITLE: SubUrbia"", ""TEXT PLACEHOLDER 218"", ""<P>"", ""This is the <I>other</I> film called <I>SubUrbia</I>. This is the Richard Linklater/Eric Bogosian one, not to be confused with the Penelope Spheeris one from Section 217. You'll get there eventually, if you haven't been already."", ""<P>"", ""This is the film that's not as directly punk-related. This is about a group of slacker friends hanging out wasting their early adulthoods hanging out in the parking lots of convenience stores and liquor stores, regretting never leaving their crappy little town and doing something more interesting. One of their friends who achieved escape velocity with some minor musical success shows up for a visit and ignites even more pathetic jealousy and resentment and envy amongst the friends. Most of the characters are some version of unlikeable and unstable, and it's a weird and uncomfortable film."", ""<P>"", ""You're always mildly horrified watching films where people are in the same towns they've lived in for their entire lives. You spent most of your childhood around the same rather small city where your mother grew up, but your parents were divorced and your dad moved around all over the country for his job when you were a child and you split some time between them. Even before you were born your mother and father lived in a lot of different places all over the state. And most of your male relatives had been in the military at some point and lived elsewhere while they were in the service, even if they ultimately moved back to your town. It always weirded you out meeting people who had <I>never</I> lived anywhere else for a significant period of time. It's shocking how many people this is the case for, whether back home or even in the other places you've lived. Most people you've met in your life either never left their hometown, left briefly to have their Big College Adventure, or they moved to their current city for college and then never left. And they'd never dream of moving because they couldn't bear being away from their homies they've had since gradeschool or their undergrad years or whatever. It dumbfounds them that you and your belated wife had to pick up roots and move to different cities multiple times as adults, going to places where neither of you knew <I>anyone</I> and starting your lives over."", ""<P>"", ""This movie reminds you of what it would be like if Jay and Silent Bob were <I>really really sad</I>. It is pathetic and poignant for the same reasons <I>Clerks</I> is pathetic and utterly hilarious. Growing up with divorced parents wasn't ideal, but at least you got to bounce around and see that other places were, indeed, the same in many ways but also different in ways that sometimes counted. By the time you had reached high school, you at least had some awareness that things were different in other places, and you had experience with some other places you might live someday and some places you never wanted to live if you could help it. Those experiences were a good way to learn that moving away wouldn't solve all your problems, but at least you'd get rid of some of the main ones you wanted to avoid.""]",Time to choose something different:,I think God would be angry at the boorishness of most of these slackers and backsliders!,Probably better off dying in a volcano than on the roof of a convenience store...,Those young men need to come up with a solid plan for breaking out of their rut and making it big!,80,105,172,https://en.wikipedia.org/wiki/SubUrbia_(film),https://www.imdb.com/title/tt0120238/,NONE
218,219,Housebound,Gerard Johnstone,2014,107,"[""TITLE: Housebound"", ""TEXT PLACEHOLDER 219"", ""<P>"", ""This film was recommended to you by a bartender you know who likes horror flicks. You specifically asked her for recommendations and this movie was top of her list. You ran it by another friend of yours who is a horror buff and he gave it an enthusiastic second. \""No spoilers going in--and I recommend you keep it that way,\"" he advised. \""But this is one of those movies I would love to watch with someone else and just stop the film every ten minutes or so and ask them, 'So what do you <I>think</I> is going on in the film right now?' And then see how their answers change as the film progresses...\"""", ""<P>"", ""You've done as he said, and you have read almost no spoilers for this film. The only thing you know about it is the basic premise that a New Zealand woman gets convicted of a crime and ends up in home detention with an ankle bracelet so that she can't leave the property. Unfortunately the property belongs to her mother, and her mother is absolutely convinced that the house on the property is haunted since \""spooky things happen\"" there. It gets off to a slow start, but as your friend suggested, every ten minutes or so you think you have outsmarted the film and see where it's going and then it changes directions and does something different than you predicted. It's a wild ride. This isn't a <I>great</I> film but it is certainly a <I>very good</I> horror film."", ""<P>"", ""You hate it when films are too obvious about pushing you to think or feel some way. A character is supposed to be handsome or beautiful or charming because the filmmaker says so or because of the actor who plays them, and you're just supposed to go along with it. Horror films can be particularly bad about this. Something is scary because they <I>say</I> it is. They put the creepy music cues and the jump scares in the right places. Boo! Are you not scared? This film does a much better job of anticipating where your mind is going without dragging you there kicking and screaming. And just when you think you're finding a plot hole or figuring out the next \""twist\"", things get subverted. Is it great? Maybe not. But it does a better job than most films that try to do the same. Enjoy!""]",Time to choose something different:,An ankle bracelet is the ultimate punk accessory!,Kids like Eugene who are good at mechanics and sneaking around would be great in the Army!,Better being housebound than being stuck in traffic for ages and ages!,213,49,206,https://en.wikipedia.org/wiki/Housebound_(2014_film),https://www.imdb.com/title/tt3504048/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Housebound
219,220,Les Cousins,Claude Chabrol,1959,110,"[""TITLE: Les Cousins"", ""TEXT PLACEHOLDER 220"", ""<P>"", ""This is a Claude Chabrol film about two male cousins in a remote town in France. It's not going to be very exciting, and much of it is about the rather pathetic happenings in the little town it is set in. Chabrol is not the most exciting of the French New Wave and associated directors you've seen, but it's good to have a couple of boring ones under your belt. This just isn't going to strike you as very remarkable."", ""<P>"", ""You're going to watch most of this on a bar on your phone, standing by the non-functional pay phone by the bathroom. Every time you pass this pay phone you check the coin slot for money. Something you've done much of your life, and it's often been fruitful. You have very good reason to believe that you are the only person who ever checks this pay phone's coin slot for money. It is sad to you that other people have stopped believing in the possibility of this happening. You refuse to be the last person to give up on the hope of good things happening in the world.""]",Time to choose something different:,This didn't do it for me. Maybe a rockumentary would be more my speed...,"Living near family members can be stressful, especially when your neighbors are also weirdos!",Got anything else by Chabrol? Preferably with some serial murders...,207,219,199,https://en.wikipedia.org/wiki/Les_Cousins_(film),https://www.imdb.com/title/tt0052708/,https://tvtropes.org/pmwiki/pmwiki.php/Film/LesCousins
220,221,24 Hour Party People,Michael Winterbottom,2002,117,"[""TITLE: 24 Hour Party People"", ""TEXT PLACEHOLDER 221"", ""<P>"", ""If you had a nickel for every person who, knowing your tastes, ever aggressively encouraged you to watch this film, then you'd have at least enough to trade in for a quarter or two. And if you had another quarter for how many of those told you some version of how much you remind them of the \""main guy\"" in this film then you might have enough money for laundry."", ""<P>"", ""Upon <I>finally</I> seeing this film years later, you realize exactly how much of \""you remind me of the main guy in this film\"" is decidedly <I>not</I> a compliment. It's not necessarily a complete insult, but it's a much safer thing to tell someone who <I>hasn't</I> seen the film than someone who <I>has</I> seen the film. And the moment you start watching it and realize all this time they've been comparing you to Steve fucking Coogan playing his usual persona leads to a complex mix of feeling slightly insulted and flattered and infuriated all at the same time and wondering what <I>exactly</I> they saw in you that made them make this comparison."", ""<P>"", ""As someone with full access to your inner monologue, you have to admit they aren't <I>completely</I> wrong with this comparison, which is frighteningly apt in a lot of ways. You'd certainly love for them to elaborate if they were still available and you were still on speaking terms with any of these motherfuckers, but for now you'll be left to wonder what exact mix of smart and sketchy and smarmy and weird and pompous and arrogant they're actually calling you out for being. You certainly have a lot of empathy with Coogan's Tony Wilson surrounded by a bunch of psychos and druggies and other fuckups while trying not to get dragged too far into their shenanigans."", ""<P>"", ""Most of this film is about Factory Records and the Madchester scene. Your mother's family is from oop north back in the day, so that alone makes a lot of sense. You love a lot of the music in it. Many of these bands were certainly a staple on the playlists of your college radio show and occasionally made guest appearances on your regular radio show a few years later in Madison. And of course you're delighted that they showed the detail of Ian Curtis watching Werner Herzog's <I>Stroszek</I> with its notorious chickens before hanging himself. That's a choice you're going to have to meditate on for awhile.""]",Time to choose something different:,"It's a bit inspiring to see someone stick to their ideals, even if it doesn't personally go well for them!",Glad Tony Wilson was willing to take a gamble on Manchester music. I love a gambling man!,"Well, we found out what Boethius would think about the Madchester scene, but what about Ludwig Wittgenstein?",171,157,234,https://en.wikipedia.org/wiki/24_Hour_Party_People,https://www.imdb.com/title/tt0274309/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TwentyFourHourPartyPeople2002
221,222,Les Bonnes Femmes,Claude Chabrol,1960,100,"[""TITLE: Les Bonnes Femmes"", ""TEXT PLACEHOLDER 222"", ""<P>"", ""This is another awkward French New Wave comedy/drama film by Claude Chabrol. It follows four young women in Paris who work in a shop and their \""romantic\"" misadventures. It spends most of the film as a fairly light, loose comedy and then takes a quite sudden and dramatic twist at the end that is quite jarring if you aren't expecting it. It hits some of the usual beats. A couple of the women are pursued by two boorish shitheads, and one of the girls possibly bangs both of them, which is mildly depressing. One of the shopgirls has a plotline where she has a secret cabaret career at night that the other girls don't know about and she's afraid they'll find out about it and tease her. Much of the film is the girls having bad dates and relationship problems, and it's not immediately obvious how much the audience is supposed to sympathize or care, and it's especially hard watching this later since even the more innocuous men are ultra-dickheads by today's standards. One of the quieter women has a mysterious suitor who keeps showing up on his motorbike. It almost seems like a relief when he whisks her away for what appears to be a sweet romantic encounter. But then of course he suddenly decides to kill her and the film ends on that dark note, and we're reminded that this is the same Claude Chabrol who directed a film about the infamous serial killer Henri Landru."", ""<P>"", ""The whole ending reminds you a bit of the song \""Where the Wild Roses Grow\"" from <I>Murder Ballads</I> by Nick Cave and the Bad Seeds, the one where Nick Cave does a duet with Kylie Minogue:"", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/lDpnjE1LUvE?si=DLQFNWsKNmeNUa75\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>"", ""This seems a very apt comparison since this song was from the era where Kylie was more known for her \""bubblegum pop music\"" like \""The Loco-Motion\"" than some of the moodier, sexier tracks from later in her career. One of your gay friends is a Kylie Minogue superfan. You were surprised and impressed a few years ago when he correctly predicted that her \""Padam Padam\"" song was going to be one of the utterly unavoidable gay synth-pop hits of the summer in 2023. Quite a lot to expect from a fifty-something year old pop singer widely regarded as washed up and no longer relevant."", ""<P>"", ""You never dreamed that watching this film was going to send you on a spiral of watching Kylie content. You throw on a video of \""Can't Get You Out Of My Head\"", which still sounds fresh to your ears and is certainly fresh to your eyes. Kylie at age 33 in severe make-up rocking an extremely loose-fitting top with nothing on under it. You rarely find blonde women extremely attractive, but Kylie is actually one of your exceptions."", ""<P>"", ""You've spent a lot of late nights in gay bars, usually with your belated wife or, since the pandemic, with some mix of your straight and gay friends in one of the few spots nearby that actually stays open late until bartime. These bars would often put on current or classic pop music videos, usually by female artists. You'd often find it startling and a bit funny when you'd catch yourself trying not to drool over one of the women in these videos only to look over and see a couple of out-of-uniform drag queens in the corner solemnly watching the video with their friends and carefully trying to copy the choreography. Everyone has different reasons for liking this stuff. As far as you're concerned, it beats watching an ESPN 3 documentary about some NFL quarterback's gravely ill children who are hooked up to tubes and dying, which always seems to be on the televisions in straight bars at this hour.""]",Time to choose something different:,Why would those women settle for hanging out with those two childish dopes and a killer when they could be hooking up with Alain Delon?,Better off working in an appliance store than a sausage factory!,Hopefully none of those women will be pushing a baby carriage any time soon...especially down the Odessa Steps!,174,209,7,https://en.wikipedia.org/wiki/Les_Bonnes_Femmes,https://www.imdb.com/title/tt0053666/,https://tvtropes.org/pmwiki/pmwiki.php/Film/LesBonnesFemmes
