,text_section
113,"[""TITLE: Spring Breakers"", ""TEXT PLACEHOLDER 114"", ""<P>"", ""You're going to like this film more than you thought you would. But first you have to survive watching it."", ""<P>"", ""Your friend has invited you over for a viewing. They have a full bottle of Fernet. They give you a glass of this and then proceed to drink half the bottle before putting it on, and then the other half over the course of the film, mostly straight from the bottle."", ""<P>"", ""Your friend has plenty of comments and background on the film which is fascinating to you but varies in coherence as they keep pausing the film and holding forth on it and then getting distracted and talking about other topics."", ""<P>"", ""After awhile your friend lets the film run on its own but falls asleep. They keep waking up for the sex scenes and then loudly declaring them \""BO-RING\"" or \""HO-HUM\"", to your enormous confusion. You aren't particularly excited by the Spring Break atmosphere or the particular women who are portrayed on the screen having gross, greasy sex with random strangers or eventually James Franco."", ""<P>"", ""Your friend wakes up for a sex scene with James Franco where one of the women is forcing him to fellate a gun barrel. To your alarm, your friend declares this to be \""HO HUM BO-RING\"" as well and then turns over on the couch to go back to sleep. This makes you question a lot of your friend's judgment on such sensual matters. James Franco sucking on the barrel of a pistol isn't your cup of tea, but it's not something you'd quite put in the \""BO-RING\"" category."", ""<P>"", ""Eventually your friend is snoring quietly on the couch and you're trying to concentrate as the film grows increasingly violent and colorful. By the time it's into full <I>Speed Racer</I> glowing condom foam party territory, your friend miraculously awakes and starts showing intense interest. They pause it several times to talk about the colors and which other films it reminds them of. At the end of the film they ask you what you think and you stammer a bit and declare that it reminds you of <I>Speed Racer</I> by the Wachowski siblings. Your friend declares \""Yeah, I saw this one in the theater first...I still don't know what to think of it.\"" And that's that."", ""<P>"", ""Later on you watch <I>Newsies</I>, or at least the first twenty minutes. Your friend sings along and then falls asleep. You put on a Serge Gainsbourg biopic, determine that there isn't any more Fernet left, and then grab a beer out of your friend's fridge.""]"
114,"[""TITLE: Red Army"", ""TEXT PLACEHOLDER 115"", ""<P>"", ""This is a documentary produced by Werner Herzog that tells the story of the Soviet national hockey team. Many Americans only know the team as being the team that was notoriously defeated by the American team at the 1980 Winter Olympics. This film tells the broader story of the team, for whom this blip was only the second time they failed to win the gold in their history."", ""<P>"", ""The story of course is a broader story that traces how the team's history matches with the changing times in the Soviet Union, and the fates of many of the core members who defected or were traded to other professional teams for much-needed money."", ""<P>"", ""It's at heart a sports documentary, and it's a very good example of one of those. You're not generally a hockey fan and certainly not much of a consumer of sports documentaries, but you do have to admit it's more interesting than the subject might initially seem. The behind-the-scenes wrangling in the hockey business is at least interesting. You watch most of this in a bar on your phone with a beer in front of you, which makes it feel like you're catching an episode of <I>30 for 30</I> on ESPN-2 or something pre-pandemic.""]"
115,"[""TITLE: Cool World"", ""TEXT PLACEHOLDER 116"", ""<P>"", ""Buckle up, this is going to be an unexpectedly rough watch."", ""<P>"", ""You saw most of this around the time it came out, or at least when it finally hit cable television after being in the theaters. It was one you always got confused with <I>Who Framed Roger Rabbit</I>, and aside from Bob Hoskins in that classic, you have to admit you may like this one slightly better. At least it lacks the now-putrid stench of Disney about it."", ""<P>"", ""However, your contemporary watch of this is going to be very distracted, with a few stops and starts. You will begin watching this at a bar and then get very sidetracked by your messy personal life. You'll give up and watch an entire other film in the meantime. (If you would like to simulate this, bookmark this page before turning to another random section and read the entry for that before returning here.) The next day you will wake up bright and early, attempt to work out, and then try to attend Flower Mart, but this will be marked by numerous tragic and stressful arguments. You will head home before noon to fetch a six pack of beer from your refrigerator, and you will quickly consume this during the course of the day just to make things bearable."", ""<P>"", ""You will run into similarly tipsy friends who announce they are having a cookout later in the day, which sounds awfully good to your empty stomach. You will give them a few beers from your bag and then purchase two more six packs in preparation for this. Unfortunately this will be canceled as soon as they get home and decide falling asleep sounds like a better option, leaving you with a bag full of beer you purchased for that purpose."", ""<P>"", ""Some of your surplus beers you will give away to friends. Others you will sip at from a plastic red solo cup you obtained by trading a few pours of beer from a fresh can to a stranger. Eventually you will sit down at a random table and end up drinking four or five beers while restarting this film from the beginning. You'll watch most of this film before stumbling to your favorite bar in town to sip a Natty Boh and finish the film. Your friends will be horrified and amused by how hammered you are since you rarely even let yourself get tipsy around them. For the record you will do remarkably well considering exactly how much alcohol you have consumed--your tolerance is fairly heroic if you spread it out, but this isn't something you want to be particularly known for."", ""<P>"", ""Later in the evening you will be gravely offended by a rude woman who asks you a lot of nosy questions about your finances and then demands you pay for her dinner and drinks. You will baffle your friends by contemptuously paying for one of her drinks, which seems absurd considering how impolite she was being to you. They will not be able to wrap their head around the fact that for you in this context this is one of the biggest ways you can tell someone to go fuck themselves that is possible short of outright punching them in the face."", ""<P>"", ""As for the film, it's a blurry haze but you still prefer Bakshi being skeezy to a gaudy corporate parade of intellectual property. Sleep it off, tomorrow is another day.""]"
116,"[""TITLE: Interstellar"", ""TEXT PLACEHOLDER 117"", ""<P>"", ""Finally you are going to watch <I>Interstellar</I>, the film your friends have been telling you that you need to watch because of the emotional impact it had on them. They assure you that you will like it, particularly because of your interest in linguistics."", ""<P>"", ""One of your friends loves the soundtrack of this film so much that it nearly spoiled one of his intimate encounters when it came on the radio and made him overly emotional, much to the horror of his date, as he tipsily confessed to you one night."", ""<P>"", ""Your friend vaguely explains the plot to you without trying to spoil any of the major details. Apparently there are some sad-astronaut moments involving being away from their children. You're not usually big on blockbuster sadspace films, so you cautiously check in with another friend who has seen the film. That friend gushes about how much he enjoys the film too, and gives you another vague, spoiler-free discussion of the plot--though you are pretty sure you can guess the spilery twist, which they both insist is very mind-blowing."", ""<P>"", ""You go into this with cautiously high expectations and...it's okay, you guess. You do not find yourself overwhelmed or emotional upon hearing the soundtrack. The twists are more strange than unexpected. You find the scene with the gigantic tsunami wave on the water planet pretty horrifying, as well as the nerdy consequences of them dithering about what to do next while time is quickly and tragically wasting. It's not a bad sci-fi film but your friends' arcane descriptions of it didn't seem to match the expectations that they created."", ""<P>"", ""You go back to your friends after watching it and tell them that you watched <I>Interstellar</I>. \""Oh, good for you,\"" they mildly enthuse in your separate conversations. You tell them you liked the scene with the big wave. \""Yeah, I kinda remember that part I guess,\"" they both claim. Their enthusiasm for this film has waned considerably since they tried to talk you into adding it to your watchlist weeks ago. You chalk it up to some combination of alcohol, flakiness, and waxing and waning interests over time--much like the massive tides of the water planet! You feel like a genius for making this tidal connection."", ""<P>"", ""A few weeks later it dawns on you that both of your friends were telling you to watch <I>Arrival</I>, which is an entirely different blockbuster sci-fi film. Your wires got crossed and you are an idiot who is bad at pop culture.""]"
117,"[""TITLE: Hotel Rwanda"", ""TEXT PLACEHOLDER 118"", ""<P>"", ""This is another film you missed when it initially came out and you never quite got around to crossing it off your list. You correctly guessed that it sounded like a depressing watch that would spoil any good mood you were currently in. Now that the days of good moods are mostly over, it won't hurt much to sneak in some depressing shit you missed out on like this. It's about the Rwandan genocide."", ""<P>"", ""The characters in this spend a lot of time being harassed by groups of men using machetes as an ethnic cleansing tool. You had a machete when you were a kid, a dented antique that your uncle brought back from Korea as part of his Army service. It was relatively dull, but still hazardous to children who were dumb enough to treat it as a toy and climb trees and actually hit things with it as though it were a sword. Needless to say it was one of your favorite toys. You used to take it out in the yard with a cheap bag of potatoes. The potatoes would be the bad guys and you would kill them with your machete. You also had a rope, and sometimes you would play sheriff and threaten the potatoes with the machete before tying the rope into a noose, attaching the noose to a tree, and executing the potatoes as though they were outlaws. It must be pointed out that there was no racial or ethnic aspect to these potato executions. You treated all potatoes as equals, whether they were red, russett, or white potatoes. All faced a harsh but fair justice at your vigilante hands."", ""<P>"", ""When you had your late night radio show, you would frequently end up going down rabbit holes where you would play unusual music from odd sources. Some of the albums you would play music from had innocent sounding music with macabre origins--songs written by Charles Manson or the cult that released sarin gas on the Tokyo subway or songs from the Rwandan genocide. These songs all made you suspicious of the actual content of the songs played on the world music shows for the happy progressives of Madison who loved the worldiness of world music, while having zero understanding of the lyrics. Listening to these shows without knowing what the lyrics meant was always a bit disturbing to you. For all you knew, you were bopping your head to the \""Happy Female Circumcision Song\"" or something similarly vile."", ""<P>"", ""You recall playing one song in particular called \""I Hate Hutus\"", which was a hit song in Rwanda during the Rwandan genocide. The song sounded like a regular African pop song, but the lyrics were encouraging Hutus to rise up and kill the Tutsi \""cockroach\"" colonizers who were ruining their country. You would always play songs like these without explanation before informing your listeners of what they had just been enjoying. One of the horrors of this film is the recurring voice on the radio of one of the announcers playing such music and exhorting his listeners to carry out this genocide. In retrospect, you feel a bit horrified that you may have been a bit too flippant about playing these songs and you can only hope that none of your night owl listeners had to listen to the track firsthand when it was popular on the radio in their homeland.""]"
118,"[""TITLE: Everything Everywhere All At Once"", ""TEXT PLACEHOLDER 119"", ""<P>"", ""This is a very quirky film and you're not sure how to feel about it. The first half hour seems like a pretty straightforward indie film about the immigrant experience through the seldom-seen lens of a frumpy middle-aged Asian woman. The film utterly nails that section of the film. Then the wheels come off and it's a wild, wild ride. It's weird fun in a way that makes it seem like two separate movies, and it's maybe a bit too much for you to fully enjoy the full sensory onslaught of it all."", ""<P>"", ""This is a good movie for when you're in the mood to watch a slow burn indie film about the Asian-American experience but you also need some loud, vulgar, insane kung-fu stuff thrown in."", ""<P>"", ""Jamie Lee Curtis plays Carol Burnett playing a tax accountant auditor who can do martial arts and sometimes has erotic sausage fingers."", ""<P>"", ""The film embraces the absurd and if you're in the right mood it will hit you just right and be the best thing you've ever seen. If you are in the wrong mood then you will be enormously frustrated one way or another for great stretches of the film."", ""<P>"", ""There is a literal Everything bagel at the center of this film. This will make you feel sad and nostalgic and hungry. You haven't had a <I>great</I> real everything bagel with lox spread from New York since before the pandemic, and you haven't even had a decent everything bagel since before your wife passed away. During the pandemic she would sometimes mask up and get breakfast at the Russian deli around the corner from your apartment for you. You have not had the heart to do this since she left this world.""]"
119,"[""TITLE: Jodorowsky's Dune"", ""TEXT PLACEHOLDER 120"", ""<P>"", ""This is an interesting documentary about the absolutely bonkers plans that Jodorowsky (of <I>The Holy Mountain</I>) fame had for making a film based on Frank Herbert's <I>Dune</I>. You were lucky enough to see the David Lynch version in the theater when you were a kid, though to say that this went way over your head was an understatement. Your uncle, who was a bit of a sci-fi nerd, dragged you and your cousin to it, in hopes it would be the next <I>Star Wars</I>. It was not. You were massively confused, and the sheet of paper with a Dune glossary they handed out to all the patrons beforehand did little to shed light on what the fuck was going on. You just remember a lot of grotesque imagery, which you would later revel in when returning to this as a teenager."", ""<P>"", ""You generally have a very positive view of Jodorowsky. One of the funniest films you have ever seen is Jodorowsky-adjacent, and you and your belated wife were able to experience it live in Milwaukee. It was an <I>Everything Is Terrible</I> production, a clip-show full of horrifying found footage involving dogs with the title <I>DoggieWoggiez! PoochieWoochiez!</I>. The EIT bunch lovingly edited together this footage roughly in the form of a remake of Jodorowsky's <I>The Holy Mountain</I>. In particular, the middle section is devoted to dog footage in the theme of the seven other planets in the movie (e.g. weapons, art, toys, war, et cetera). It is one of the best remakes of a film you have ever seen, and you endlessly recommend it to anyone who will listen and might have the vaguest idea what the fuck you are talking about."", ""<P>"", ""You also happen to be a huge fan of Jodorowsky's <I>Metabarons</I> comics, which were heavily influenced by <I>Dune</I>, and a lot of the DNA that formed these comics is on display in this documentary."", ""<P>"", ""The documentary itself is, well, just a pretty-good documentary. But there is enough here that indulges your perverse interests to keep you tuned in and attentive.""]"
120,"[""TITLE: Plague Dogs"", ""TEXT PLACEHOLDER 121"", ""<P>"", ""This animated romp is a delight for the whole family, as long as your family loves seeing terrible things happen to cartoon dogs."", ""<P>"", ""You're going to wonder if the cartoon dogs die in the end, assuming that they probably do. In a surprising twist, it is not made explicitly clear that the dogs are doomed at the end of the film, so you'll just have to use your imagination and base your expectations of what happens/happened at the end of the film based on the overarching tone of the film, which is mostly about terrible things happening to animals."", ""<P>"", ""The first few minutes of this film is a gorgeous animated sequence that turns out to be a lab animal dog, one of the two main characters, being deliberately drowned in a tank of water before being pulled out and resuscitated. That dog is droopy and sad and cynical. The other dog, voiced by John Hurt, is much more upbeat and has a horrifying backstory about a time in which he had a loving owner before things go depressingly wrong. He also has a terrible head wound from his brain being cut open and experimented on."", ""<P>"", ""When you were in gradeschool you had a cat named Shadow, short for Shadowfax. Unlike your other cat, he was allowed to roam outdoors. He would jump up and hang from the handle and \""knock\"" on the door when he wanted to be let in. He was a beautiful solid grey cat and he was very loving and affectionate, a very gentle soul. One day he went missing and didn't come back for a few weeks. Once he returned, the top of his head was all a scabbed open wound that had just started to heal, a soupy mess of scab and pus. This finally healed over into a hairless patch on top of his skull. Afterwards he had frequent seizures, in which he would spin around on the floor and \""breakdance\"", often losing bladder control and turning into a cat-sprinkler. It was dangerous to have him on his lap when he would start one of those seizures, since he would put his claws out in a panic and try not to fall. Eventually the seizures got so bad that you could no longer have him on your lap. His condition deteriorated and he eventually had great trouble remembering what he was supposed to do in the litterbox. He would dutifully shit near the litterbox, but with a low success rate at actually making it all the way inside. After his head injury, he didn't like to go out as much, but sometimes he would insist on short trips outside to do his business in the wild. One day he went on another trip outside and never returned. The end."", ""<P>"", ""This film with its bandaged-head scarred and brain-damaged dog reminds you of Shadowfax."", ""<P>"", ""You remind yourself to maliciously suggest watching this film to as many people as you can so that you are not alone with your miserable memories.""]"
121,"[""TITLE: True Grit"", ""TEXT PLACEHOLDER 122"", ""<P>"", ""This is a Coen Brothers remake of the John Wayne classic with the same name about a young lady out to avenge her father's murder who hires a drunken one-eyed tough-as-nails lawman to help her track down the killer. It's actually a fun movie. You watch a great deal of this on your phone while walking to and from the Farmer's Market on a Sunday morning."", ""<P>"", ""The film reminds you of your stepfather, an eccentric one-legged man who had a John Wayne obsession. His father was a bit of a vagabond and was never around much before he completely abandoned the family, so he always saw John Wayne as a sort of surrogate father. Your stepfather wasn't part of your life until you were late in your teens, and he only married your mother and moved into your house as you were moving away to graduate school."", ""<P>"", ""Your stepfather lost his leg in a misadventure when he was a teenager. He frequently made up stories about exactly how he lost his leg, but the real story was that he was trying to jump onto a freight train at around age 16 and misjudged and the train took off his leg. This never stopped him from working an insane variety of jobs. He worked on a chicken farm. He topped trees. At one point he got into a job training program for people with disabilities and ended up going to culinary school, which landed him a job as a chef in New Orleans. At another point he ended up managing a failing bar in Florida. He turned around the fortunes of this bar by taking the advice of one of his regulars and turning it into one of the first openly gay bars in Florida after getting assurances from the local police and shore patrol that they would approve of and cooperate with this change and turn a blind eye to any technical illegalities. They were more than happy to have much of the messiness confined to one place, and he made sure they ran a relatively tight ship."", ""<P>"", ""Your stepfather went through multiple wooden legs in the time you knew him, each time graduating to a fancier prosthesis. His older legs lived in your mother's shed, next to his prized velvet paintings of John Wayne. One velvet painting represented John Wayne as Rooster Cogburn. You are a little sad that this never ended up on your wall.""]"
122,"[""TITLE: The Wiz"", ""TEXT PLACEHOLDER 123"", ""<P>"", ""You know well what you're getting into here. This is a black version of <I>The Wizard of Oz</I> with a ridiculously star-studded cast that includes Diana Ross, Michael Jackson, Richard Pryor, Nipsey Russell, Lena Horne, Mabel King from <I>What's Happening!!</I>, et cetera. You better have goddamn seen this movie if you ever plan to have any black friends in your life of a certain age who don't think you're some kind of racist or uncultured idiot. This one is basical cultural literacy."", ""<P>"", ""Luckily you have already goddamn seen this, and you have some street cred to boot. Most of your LGBTQ-adjacent theater friends from high school ended up being in a stage production of this musical at your school. It was a good production aside from the absurdity of having an all-white cast. To their credit, they were greatly enthusiastic about the production, and the whiteness of the cast was more about the demographics of the school than any kind of deliberate exclusion."", ""<P>"", ""Okay, maybe don't use that fact as street cred. But you have some familiarity with the songs in this and can recite some of the laugh lines. And the Wicked Witch of the West for you will always be your friend Sara superimposed over Mabel King."", ""<P>"", ""Watch this film, get nostalgic for simpler times, and then ease on down the road.""]"
123,"[""TITLE: Before the Devil Knows You're Dead"", ""TEXT PLACEHOLDER 124"", ""<P>"", ""This film has a long title that evokes one of those things that people say to sound Irish. \""May you be in heaven half an hour before the devil knows you're dead.\"" It is a cool saying if it's not too heavily Irish-glossed."", ""<P>"", ""This has Philip Seymour Hoffman and Etan Hawke in it, whose characters are so spineless and repulsive that it turns this into quite an enjoyable watch. Add in Marisa Tomei and Albert Finney and you know you're in for an actor's clinic. Some films have characters that are so pathetic and unlikeable that you stop caring or just get depressed and discouraged. These characters are so repulsively flawed that they seem divinely inspired. They remind you so much of people you have known and had in your life that you can't look away as their pathetic self-inflicted drama spins to a sad conclusion. They are the kind of hapless fuckheads that are so self-centered and oblivious and self-hating that they are unable to empathize at all with anyone they hurt. It is the most realistic depiction of fuckhead ever set to film. These idiots may as well have been ripped from your own past and had their flesh and blood mashed into the celluloid. You don't want to watch this more than once, but you're glad you did just to know that someone else has at least had a good overhead view of people like some of the worst people you have known. ""]"
124,"[""TITLE: To Live and Die in LA"", ""TEXT PLACEHOLDER 125"", ""<P>"", ""You've seen this, of course, but you don't remember seeing it. You were too young for Willem Dafoe to make a lasting <I>conscious</I> impression but old enough for him to make a lasting impression as a creepy villain. But the real head-trip here is seeing William Petersen as a sort of scummy bad-boy cop. You are sad that you didn't have this film in your recent memory when you saw your first episode of <I>CSI</I>, which would have greatly colored your enjoyment of that show. John Turturro being a dirtbag in this is also a lot of fun. Even Dean Stockwell makes an appearance. Even fucking Robert Downey Sr. makes an appearance. And Gary Cole!"", ""<P>"", ""You never fully got into this film when you were a kid because it was set in Los Angeles, and you have always had a slight revulsion for that city and southern California in general. Somehow all your travels have never brought you to southern California. You've never splashed around in the Pacific ocean. This used to be a point of pride, but now it's a mild embarrassment--but not one you feel like correcting. You generally haven't enjoyed your misadventures west of the Mississippi River."", ""<P>"", ""If you thought too hard about it, you would find it ironic that several of your favorite punk bands when you were a teenager were based in California or Texas and rather loud and proud about the fact. Black Flag. Fear. The Butthole Surfers. The Dicks. Et cetera. But the dominant shallow car-based culture drowned out the bits of counterculture you loved, so you always avoided actually going there. <I>Tant pis.</I>""]"
125,"[""TITLE: Bad Lieutenant"", ""TEXT PLACEHOLDER 126"", ""<P>"", ""Harvey Keitel plays a corrupt druggie cop half-ass trying to solve a crime involving the sexual assault of a nun. This is one of the best and possibly most accurate sports gambling films of the last few decades. Pair this with any baseball film if you must. Perk your ears up every time the plot turns to baseball--it's the best part of the film."", ""<P>"", ""Harvey Keitel does a lot of whining in this one. A <I>lot</I> of whining. It is impressively pathetic and unhinged. Your mother always taught you not to whine. \""If you're going to cry, cry. But don't whine.\"" Whining was a fast ticket to her bad side. A crying child <I>might</I> be wort comforting, but a whining child is being deliberately annoying. She knew that whining tears were false tears, and she would always ominously offer to give you a reason to cry if you persisted. You learned to respect this since it was obvious she could see through what you were doing. Not once did she threaten this when you were honestly crying for any reason. Harvey Keitel's numerous mini-tantrums accompanied by self-pitying whining sessions are incredible. It is a man-child portrayal worthy of the big screen."", ""<P>"", ""You're also going to get to see Harvey being an enormous creep and make two women he pulls over watch while he jerks off. They really are not kidding about the \""bad\"" label on \""bad lieutenant\"". His character is thoroughly repulsive in a delightful way. You can't look away. This isn't the sort of cool bad-boy bad guy anti-hero that you're used to seeing in films. Still, you'll probably be at least a little sad when the film spirals to its inevitably pathetic ending."", ""<P>"", ""Enjoy!""]"
126,"[""TITLE: King of New York"", ""TEXT PLACEHOLDER 127"", ""<P>"", ""You've seen this a few times in your youth. In your childhood, the weekly <I>TV Guide</I> had a section at the beginning that listed the ratings of every film that was shown on cable TV along with the reason for that rating. This was so that children could cross-reference cable movies to see if they had any good stuff in them. You learned quickly that if a film was rated PG-13 or R because of \""adult themes\"", it was usually some boring shit like abortion or adultery. Movies with \""violence\"" or \""graphic violence\"" were bound to be fum if that was what you were in the mood for. Anything with \""nudity\"" was usually boobs, and the rather rare \""graphic nudity\"" (or however it was phrased) indicated either extended boobs or, best of all, full frontal female nudity. (Full frontal male nudity was pretty rare in those days.) \""Brief nudity\"" was a bit chancy. Usually it meant butts, and even worse it often meant men's butts. <I>King of New York</I> was pretty much like hitting a royal flush in all these categories, the kind of film that was appointment viewing back when internet access was either non-existent or dial-up, and spotting any kind of naughty content meant UUDecoding a relatively large file with a long download time."", ""<P>"", ""This was your first exposure to Christopher Walken, and essentially your first exposure to antiheroes in general. Once you got past the nudity, you were pretty confused about the whole nature of whether he was supposed to be a good guy or a bad guy and if you were supposed to be rooting for him. As with many things in life, you learned that on the whole morality itself is pretty grey. The world is cold and uncaring, and sometimes the only way to survive is to throw your lot in with whoever gives you the best chance. Bad people are always bad people, and even supposedly good people will consider you fair game to sharpen their claws on if they can talk themselves into believing you to be a bad guy, which is quite easy if you don't look and act like them. It's good to have a code, but abandon the idea of putting any particular person in the good-guy bad-guy category. For many people, they can talk themselves into thinkig that anyone who seems defenseless is a potential target. Act accordingly.""]"
127,"[""TITLE: New Jack City"", ""TEXT PLACEHOLDER 128"", ""<P>"", ""This is one of several 1990s gangsta-with-an-a films that seemed interchangeable at the time. They're all good and bad and cheesy in their own ways. You'll see most of these at some point in a chair at a barbershop, but never a full one. Your haircuts aren't that complicated."", ""<P>"", ""This is the one with Ice-T in it, not to be confused with Ice Cube. This one lets you know how it would feel if you recognized Sam Waterston on <I>Law & Order</I> from <I>The Killing Fields</I> first, or William Petersen on <I>CSI</I> from <I>To Live and Die in LA</I> first. Although, to be fair, Ice-T does play a cop in this one, though the same is true of William Petersen... In any case, at least you recognize Ice-T from his rap career first, so the point still holds."", ""<P>"", ""Like Karl Marx, you only drink herbal tea these days. (Marx only drank herbal tea as well, since the Marxist belief is that proper tea is theft.) You usually drink your tea hot in the mornings in all seasons. You have never been much of a coffee drinker, and you gave up caffeine a few years ago in hopes of reining in some of your sleep disturbances and more unpleasant dreams. If you go to sleep with no alcohol at all you tend to have terrible nightmares, and caffeine tends to make them more frightening and more frequent. You enjoy iced tea, of course, but the southern version is ghastly (though a bit of a guilty pleasure), and too much sugar can be as unsettling to your brain and stomach as too much caffeine. Best to play it safe. It's already a delicate balancing act indulging in alcohol without overindulging or underindulging. But there's absolutely nothing wrong with a morning tea, usually mint or the occasional rooibos if you are really hungover for some reason.""]"
128,"[""TITLE: Welcome to the Dollhouse"", ""TEXT PLACEHOLDER 129"", ""<P>"", ""It is hardly surprising that you have an enormous crush on Heather Matarazzo. Of course you do."", ""<P>"", ""It is hardly surprising that most of the women you have dated were basically Dawn Weiner when they were in middle school. Of course they were."", ""<P>"", ""It is hardly surprising that back before you met your belated Dawn Weiner in middle school wife, you ended up watching this film with multiple other women who were basically Dawn Weiner when they were in middle school. This resulted in a lot of trauma and shed tears."", ""<P>"", ""Until recently, this was one of the few movies you owned on VHS. This was not intentional. The bad movie night you attend once a month had a \""Santa\"" come in to distribute VHS tapes to the crowd to all the good/naughty boys and girls who showed up to watch whatever terrible movie was on tap that month. This film was hurled at your head by a foul-mouthed evil Santa. You caught it and took it home as a relic despite having nothing to play it on."", ""<P>"", ""You are watching this film because you traded it away to someone who hadn't seen it and didn't know what it was but happened to have a VHS player with nothing to watch on it. This was not a Gen-X person, and it had been a while since you had seen the film. Not knowing the person very well, you decided to do due diligence and give the film another watch so you could pass along the proper content warnings your generation once scoffed at."", ""<P>"", ""It's still a pretty rough watch for a film where the worst that happens is some horrific bullying."", ""<P>"", ""In what passes for a happy ending to your real life story, the person you passed it onto seemed to enjoy it and wasn't completely horrifically traumatized by it.""]"
129,"[""TITLE: Menace II Society"", ""TEXT PLACEHOLDER 130"", ""<P>"", ""This is another 1990s gangsta-with-an-a barbershop chair film. It stars some mixture of Ice Cube or Wesley Snipe or Ice-T or Denzel Washington or Laurence Fishburne as a badass gangsta slinging crack in the hood."", ""<P>"", ""You're not going to remember which one this is after the fact. It's probably the one where the main character is straight-up evil maybe. It might be the one where the old man from earlier who got Menaced and lost his nephew shoots the guy in the courthouse after his slick lawyer gets him off the hook for his crimes."", ""<P>"", ""All you know is it's not <I>Boyz n tha Hood</I> since that one has the chubby kid who is supposed to be baby Ice Cube, which is pretty fucking funny."", ""<P>"", ""You're pretty sure this is just pure gangsta shit with minimal-coming-of-age stuff in the middle. There are some drive-bys or something. This is from an age where guns are very American and a fundamental right, but driving while shooting a gun is a little bit <I>too</I> American somehow. An American not of African descent would have the decency to get out of the car first before shooting someone they had good reason to shoot. Shooting from a moving car is considered cheating, no matter how awesome the car. And, let's face it, most of the time in these it's not an awesome car."", ""<P>"", ""You're not going to internalize the details of this or anything, but you can at least act cool with your black friends and participate in conversations and say \""Which one was the one where Laurence Fishburne shoots at the burglar?\"" (That's also <I>Boyz n tha Hood</I>."", ""<P>"", ""For the record, this is the one where they start out robbing a liquor store and they stupidly keep passing around the surveillance tape, if that helps. They're all good. You're going to watch them all eventually. And you should feel bad about not being able to keep them straight, but to be honest you have trouble keeping some of the French New Wave shit straight as well. So it's not <I>like that</I>.""]"
130,"[""TITLE: Friday"", ""TEXT PLACEHOLDER 131"", ""<P>"", ""You will watch most of this in a bar with a beer in front of you and no other substances in your body."", ""<P>"", ""You don't have much of a reputation as a stoner, intentionally if not entirely fairly. You generally stick to beer and almost never mix-and-match."", ""<P>"", ""While you are watching this, one of the kitchen staff of the bar who knows you pretty well will come up behind you, glance at your phone, and ask incredulously, \""Are you watching <I>Friday</I>???\"""", ""<P>"", ""There's little sense in spelling out your general philosophy on these matters when the Asylum Street Spankers already said it best (in another song you played frequently on your radio show):"", ""<P>"", ""<I>"", ""Speed is a drag, it's a big big drag<BR>"", ""Set your mind on fire, make your organs sag<BR>"", ""Coke is a joke, rather take a toke<BR>"", ""Than be broken and a choking with your brain cells smoking<BR>"", ""Tripping on acid makes you flaccid, DMT too rich for me<BR>"", ""Heroin, aquarium, a nice pine box to bury in<BR>"", ""Marijuana makes me wanna eat candy and screw Madonna<BR>"", ""With her hair bleached by peroxide, huffing on some nitrous oxide<BR>"", ""I've tried them all and I'm might sound queer<BR>"", ""But my favorite drug is a nice cold beer<BR>"", ""Beer beer beer beer beer beer beer beer<BR>"", ""Beer beer beer beer, we love beer!<BR>"", ""</I>"", ""<P>"", ""Oh...and for the record, this is the one with Ice Cube in it (as well as everyone else), and he's hilarious."", ""<P>"", ""Bye, Felicia!"", ""<P>""]"
131,"[""TITLE: Frances Ha"", ""TEXT PLACEHOLDER 132"", ""<P>"", ""This film is for a girl who lost her script<BR>"", ""Wandering through a world devoid of color<BR>"", ""Mumbling lines into an offscreen mic<BR>"", ""Still matching wits with all the pretty boys<BR>"", ""As if she were a Shakespeare heroine<BR>"", ""Declared a clever girl and patted on the head<BR>"", ""A tame velociraptor kept for show<BR>"", ""Not knowing which way she should prance offstage<BR>"", ""She sprints through Paris like Denis Lavant<BR>"", ""On squandered money and on borrowed time<BR>"", ""Bowie soundtrack blasting in her head<BR>"", ""A reckoning awaits her but for now<BR>"", ""She's free to seek her soul<BR>"", ""And scratch part of her name<BR>"", ""Onto a tiny mailbox<BR>"", ""Hoping to be found<BR>"", ""<P>""]"
