this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
85,Salt and Fire,Werner Herzog,2016,98,"[""TITLE: Salt and Fire"", ""TEXT PLACEHOLDER 085""]",Time to choose something different:,All this ecoterrorism was a good warmup. I think I'm ready for some full-on genocide!,Actually let's back down a bit and watch some colorful parades and costumes and musicians instead.,"Sex work is probably a little safer than dealing with eco-terrorists, but not by much...",118,99,151,https://en.wikipedia.org/wiki/Salt_and_Fire,https://www.imdb.com/title/tt4441150/,NONE
86,Wings of Hope,Werner Herzog,1998,70,"[""TITLE: Wings of Hope"", ""TEXT PLACEHOLDER 086""]",Time to choose something different:,I'd rather be in Paris than stranded in the jungle.,This needed more spankings.,"If you're lost in the jungle, a machete would be a pretty handy tool. But if it's in the wrong hands...",225,19,118,https://en.wikipedia.org/wiki/Wings_of_Hope_(film),https://www.imdb.com/title/tt0249248/,NONE
87,Wheel of Time,Werner Herzog,2003,80,"[""TITLE: Wheel of Time"", ""TEXT PLACEHOLDER 087""]",Time to choose something different:,This seems like something spiritual enough to inspire someone to pursue a life of adventurous travel!,"Life is suffering, and the pleasures of the moment can lead to pain, and so the cycle continues...","Less Buddha, more Bushido please!",96,200,27,https://en.wikipedia.org/wiki/Wheel_of_Time_(film),https://www.imdb.com/title/tt0331080/,NONE
88,"Lo and Behold, Reveries of the Connected World",Werner Herzog,2016,98,"[""TITLE: Lo and Behold, Reveries of the Connected World"", ""TEXT PLACEHOLDER 088""]",Time to choose something different:,Got anything with a longer title?,Modern technology all just seems like witchcraft to me!,"No actual Tenenbaums were interviewed for this documentary, but some of those interviewees had reputations that aged like milk.",105,39,184,"https://en.wikipedia.org/wiki/Lo_and_Behold,_Reveries_of_the_Connected_World",https://www.imdb.com/title/tt5275828/,NONE
89,Ballad of the Little Soldier,Werner Herzog,1984,46,"[""TITLE: Ballad of the Little Soldier"", ""TEXT PLACEHOLDER 089""]",Time to choose something different:,"Those kids were pretty young, but the Army can be a pretty grand adventure if you're old enough to enjoy it and bring back souvenirs!",Bet Hitchcock could have made a pretty suspenseful film about child soldiers...,"Kids should be learning to play musical instruments at that age, not shooting rifles!",212,150,232,https://en.wikipedia.org/wiki/Ballad_of_the_Little_Soldier,https://www.imdb.com/title/tt0086936/,NONE
90,Encounters at the End of the World,Werner Herzog,2007,99,"[""TITLE: Encounters at the End of the World"", ""TEXT PLACEHOLDER 090""]",Time to choose something different:,Antarctica would be even cooler with sand-worms...,Being trapped in a POW camp in Antarctica would be awful. Southeast Asia would be bad enough!,Gambling would be a pretty good way to waste time when faced with those cold endless nights!,120,69,157,https://en.wikipedia.org/wiki/Encounters_at_the_End_of_the_World,https://www.imdb.com/title/tt1093824/,https://tvtropes.org/pmwiki/pmwiki.php/Film/EncountersAtTheEndOfTheWorld
91,The Flying Doctors of East Africa,Werner Herzog,1969,45,"[""TITLE: The Flying Doctors of East Africa"", ""TEXT PLACEHOLDER 091""]",Time to choose something different:,"Those doctors are lucky to get a Herzog documentary immortalizing them, but a Bob Dylan song would have been even better!",What's the point of flying around like that if you're not even going to do any crimes?,Bet they see some interesting parasites in that part of the world! But things can be just as bad in Canada...,25,193,9,https://en.wikipedia.org/wiki/The_Flying_Doctors_of_East_Africa,https://www.imdb.com/title/tt0064334/,NONE
92,How Much Wood Would a Woodchuck Chuck,Werner Herzog,1976,44,"[""TITLE: How Much Wood Would a Woodchuck Chuck"", ""TEXT PLACEHOLDER 092""]",Time to choose something different:,Bet the thin air would make it hard being a high-altitude auctioneer!,"Chucking wood is great exercise, actually. A lot more fun than hauling rocks!",I hate when people read poetry too fast. No need to rush...,95,236,146,https://en.wikipedia.org/wiki/How_Much_Wood_Would_a_Woodchuck_Chuck_(film),https://www.imdb.com/title/tt0074650/,NONE
93,Handicapped Future,Werner Herzog,1971,43,"[""TITLE: Handicapped Future"", ""TEXT PLACEHOLDER 093""]",Time to choose something different:,"Too bad those kids aren't in some soap opera universe, where even decapitations can be overcome and brain transplants can be performed in restaurants!",This is some bleak-ass Herzog. I need something different. Play me some Dylan instead.,Actually I'm not done being depressed. Show me how bad nuns used to have it!,241,25,176,https://en.wikipedia.org/wiki/Handicapped_Future,https://www.imdb.com/title/tt0066820/,NONE
94,Huie's Sermon,Werner Herzog,1981,40,"[""TITLE: Huie's Sermon"", ""TEXT PLACEHOLDER 094""]",Time to choose something different:,"If you pray hard enough, you'll never need an umbrella to stay safe and dry!",I bet Huie would have plenty to say about bad parenting...,"Thoughts and prayers are great, but having actual doctors show up to help people is even better.",144,147,91,https://en.wikipedia.org/wiki/Huie%27s_Sermon,https://www.imdb.com/title/tt0080900/,NONE
95,The Dark Glow of the Mountains,Werner Herzog,1985,45,"[""TITLE: The Dark Glow of the Mountains"", ""TEXT PLACEHOLDER 095""]",Time to choose something different:,So how does homosexuality work at high altitudes?,Are there stray cats in those mountains? I heard those can be really dangerous!,Those mountains are pretty scenic. They'd look great on postcards!,41,1,212,https://en.wikipedia.org/wiki/The_Dark_Glow_of_the_Mountains,https://www.imdb.com/title/tt0087317/,NONE
96,Nomad: In the Footsteps of Bruce Chatwin,Werner Herzog,2019,89,"[""TITLE: Nomad: In the Footsteps of Bruce Chatwin"", ""TEXT PLACEHOLDER 096""]",Time to choose something different:,Did Bruce ever make it to any futuristic robot cities?,I bet he never ran across any cannibal aliens either!,Forget dinosaur skins...I want an airplane! Vroom vroom!,135,50,67,https://en.wikipedia.org/wiki/Nomad:_In_the_Footsteps_of_Bruce_Chatwin,https://www.imdb.com/title/tt10011296/,NONE
97,Echoes from a Somber Empire,Werner Herzog,1990,91,"[""TITLE: Echoes from a Somber Empire"", ""TEXT PLACEHOLDER 097""]",Time to choose something different:,Let's see some more Herzog...but throw in some Klaus Kinski to make it spicy!,"Actually scratch that, time for some Godard...",I changed my mind. Got anything with Madonna in it?,11,202,185,https://en.wikipedia.org/wiki/Echoes_from_a_Sombre_Empire,https://www.imdb.com/title/tt0162941/,NONE
98,Into the Abyss,Werner Herzog,2011,105,"[""TITLE: Into the Abyss"", ""TEXT PLACEHOLDER 098""]",Time to choose something different:,"Real life criminals are sad, bleak, and often a bit boring. Let's see something a little more noir-influenced!",Why not just send death row prisoners off to life in prison in Antarctica instead?,This documentary would have benefited from a catchy theme song. ,215,90,156,https://en.wikipedia.org/wiki/Into_the_Abyss_(film),https://www.imdb.com/title/tt1972663/,NONE
99,Jag Mandir,Werner Herzog,1991,85,"[""TITLE: Jag Mandir"", ""TEXT PLACEHOLDER 099""]",Time to choose something different:,I love a good festival. Let's do Carnival in Rio next!,Actually I need a break from color. Got any chiaroscuro for me?,I can't think of anything better to chase all these colorful Indian festivities with than a Holocaust documentary!,145,232,167,https://en.wikipedia.org/wiki/Jag_Mandir_(film),https://www.imdb.com/title/tt0102142/,NONE
100,The White Diamond,Werner Herzog,2004,90,"[""TITLE: The White Diamond"", ""TEXT PLACEHOLDER 100""]",Time to choose something different:,I love seeing people get that excited about aircraft!,Wait...there's a King Lear version that's directed by Godard AND has Norman Mailer in it as Lear? Why have I not heard of this?,Oh the humanity! I bet Balzac or Flaubert would have a field day making a story about these guys...,1,204,239,https://en.wikipedia.org/wiki/The_White_Diamond,https://www.imdb.com/title/tt0435776/,NONE
101,Happy People: A Year in the Taiga,Werner Herzog,2010,90,"[""TITLE: Happy People: A Year in the Taiga"", ""TEXT PLACEHOLDER 101""]",Time to choose something different:,I wish we could ship some of our more obnoxious pundits and tech bro messiahs off to Siberia!,Siberia is a bit remote. Maybe just a convent in the Himalayas.,Those pieds-noirs who fled Algeria were definitely NOT happy people.,88,188,211,https://en.wikipedia.org/wiki/Happy_People:_A_Year_in_the_Taiga,https://www.imdb.com/title/tt1683876/,NONE
102,Bells from the Deep,Werner Herzog,1993,60,"[""TITLE: Bells from the Deep"", ""TEXT PLACEHOLDER 102""]",Time to choose something different:,"As with Vissarion, Rasputin, or any other Russian mystics, beware of a Holy Whore!",I'm ready to sink in my couch and watch a few hours of Sergio Leone now.,"Actually, got anything with dirty cops but without Harvey Keitel?",250,113,26,https://en.wikipedia.org/wiki/Bells_from_the_Deep,https://www.imdb.com/title/tt0106384/,NONE
103,Gesualdo: Death for Five Voices,Werner Herzog,1995,60,"[""TITLE: Gesualdo: Death for Five Voices"", ""TEXT PLACEHOLDER 103""]",Time to choose something different:,"Madrigals are nice, but I'm ready for a full concert.",Actually I could use some Owen Wilson about now to clear the palate. Luke can come along too I guess...,Herzog docs often put me in the mood for Godard not-quite documentaries. Got anything that will thrill me?,235,172,205,https://en.wikipedia.org/wiki/Gesualdo:_Death_for_Five_Voices,https://www.imdb.com/title/tt0114684/,NONE
104,Meeting Gorbachev,Werner Herzog,2018,90,"[""TITLE: Meeting Gorbachev"", ""TEXT PLACEHOLDER 104""]",Time to choose something different:,So does King of New York outrank President of Russia?,Gorbachev did wonders ushering in the declining Soviet Union to a new era. Wonder what he could have done for an ailing rave venue in Manchester?,"No more godless communists, please. Show me a real man of God!",127,221,80,https://en.wikipedia.org/wiki/Meeting_Gorbachev,https://www.imdb.com/title/tt8811382/,NONE
105,The Fire Within: Requiem for Katia and Maurice Krafft,Werner Herzog,2022,81,"[""TITLE: The Fire Within: Requiem for Katia and Maurice Krafft"", ""TEXT PLACEHOLDER 105""]",Time to choose something different:,"Blood is thicker than water, but is it thicker than lava?","In the grand scheme of things, getting killed by a volcano is pretty fucking punk!","If lava flows over your shoes, they may be red for a moment, but not for very long!",51,217,136,https://en.wikipedia.org/wiki/The_Fire_Within:_A_Requiem_for_Katia_and_Maurice_Krafft,https://www.imdb.com/title/tt19383190/,NONE
106,Werner Herzog Short Films,Les Blank,various,various,"[""TITLE: Werner Herzog Short Films"", ""TEXT PLACEHOLDER 106""]",Time to choose something different:,"How about some more Herzog, but less short and more smiley!",Or maybe a break from Herzog is in order. Sterling Hayden in a heist film might clear the palate a bit.,Or we could split the difference and watch some weirdos filming themselves meticulously recreating crime scenes for unspecified reasons!,83,155,70,NONE,https://www.imdb.com/name/nm0001348/,NONE
107,Gates of Heaven,Errol Morris,1978,85,"[""TITLE: Gates of Heaven"", ""TEXT PLACEHOLDER 107""]",Time to choose something different:,I'm sad this didn't have a catchier theme song.,This film is so late seventies. Got anything 1980s flavored? Bonus points if it reminds me of Miami Vice!,"""I hate the way your muscles glisten as you bury people's pets...""",156,28,164,https://en.wikipedia.org/wiki/Gates_of_Heaven,https://www.imdb.com/title/tt0077598/,https://tvtropes.org/pmwiki/pmwiki.php/Film/GatesOfHeaven
108,"Vernon, Florida",Errol Morris,1981,55,"[""TITLE: Vernon, Florida"", ""TEXT PLACEHOLDER 108""]",Time to choose something different:,Seeing all the turkeys makes me want to see something at least partially set in Turkey!,Bet you could shoot a lot of turkeys from an airship!,"Could I get close to the water but far, far away from the Florida panhandle, please?",163,100,144,"https://en.wikipedia.org/wiki/Vernon,_Florida_(film)",https://www.imdb.com/title/tt0083281/,NONE
109,The Thin Blue Line,Errol Morris,1988,103,"[""TITLE: The Thin Blue Line"", ""TEXT PLACEHOLDER 109""]",Time to choose something different:,The Babadook was framed!,A talking cat would be a great alibi witness!,"Great documentary, but needs more deranged suicidal penguins!",73,60,90,https://en.wikipedia.org/wiki/The_Thin_Blue_Line_(1988_film),https://www.imdb.com/title/tt0096257/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheThinBlueLine
110,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Errol Morris,2003,107,"[""TITLE: The Fog of War: Eleven Lessons from the Life of Robert S. McNamara"", ""TEXT PLACEHOLDER 110""]",Time to choose something different:,Lesson twelve: don't go into a hotel room alone with Colonel Kurtz and a stick of butter!,Eleven concepts is a lot to keep track of. I think I could handle five at most!,Someone needs to remake this with a bunch of G.I. Joe dolls...,238,10,40,https://en.wikipedia.org/wiki/The_Fog_of_War,https://www.imdb.com/title/tt0317910/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheFogOfWar
111,The Killing Fields,Roland Joffé,1984,141,"[""TITLE: The Killing Fields"", ""TEXT PLACEHOLDER 111""]",Time to choose something different:,"Yeah, I'm going to need a chick flick after this one.","I'd love to see a sequel where Dith Pran teams up with some crusty old lawman to bring Pol Pot to the Hague, dead or alive!","Pol Pot sucked, but let's check in on some of the rich elitist pricks that inspired his campaign of terror.",24,122,140,https://en.wikipedia.org/wiki/The_Killing_Fields_(film),https://www.imdb.com/title/tt0087553/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheKillingFields
112,King Corn,Aaron Woolf,2007,90,"[""TITLE: King Corn"", ""TEXT PLACEHOLDER 112""]",Time to choose something different:,I wonder if there's some sort of merit badge for growing your own corn...,Is early Godard this corny?,Only terrible parents would feed all this processed food garbage to their children!,197,211,147,https://en.wikipedia.org/wiki/King_Corn_(film),https://www.imdb.com/title/tt1112115/,NONE
113,Once Upon a Time in America,Sergio Leone,1984,229,"[""TITLE: Once Upon a Time in America"", ""TEXT PLACEHOLDER 113""]",Time to choose something different:,Sometimes spying on women through peepholes in the wall isn't the worst thing a person can do.,Madonna has been around long enough where she's considered nostalgia. Show me some stuff by THE material girl!,I miss the old days when Coca-Cola still had real sugar in it instead of corn syrup...,219,185,112,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_America,https://www.imdb.com/title/tt0087843/,https://tvtropes.org/pmwiki/pmwiki.php/Film/OnceUponATimeInAmerica
114,Spring Breakers,Harmony Korine,2012,94,"[""TITLE: Spring Breakers"", ""TEXT PLACEHOLDER 114""]",Time to choose something different:,Lots of very tasteful and understated fashion choices in this movie! Show me more!,More color! ,I SAID MORE COLOR!,28,144,162,https://en.wikipedia.org/wiki/Spring_Breakers,https://www.imdb.com/title/tt2101441/,https://tvtropes.org/pmwiki/pmwiki.php/Film/SpringBreakers
115,Red Army,Gabe Polsky,2014,85,"[""TITLE: Red Army"", ""TEXT PLACEHOLDER 115""]",Time to choose something different:,"Once upon a time in America...we had a team that could beat the USSR! Tell me more about the good old days, Grandpa!",So...is there a special cemetery for hockey players?,Hockey is a nice manly sport! I bet it's a good way of curing the gay!,113,107,203,https://en.wikipedia.org/wiki/Red_Army_(film),https://www.imdb.com/title/tt3264102/,NONE
116,Cool World,Ralph Bakshi,1992,147,"[""TITLE: Cool World"", ""TEXT PLACEHOLDER 116""]",Time to choose something different:,"That was a nice interlude, but I guess we can go back to the world of scheming yuppie scum!","Cartoon Kim Basinger is pretty hot, but she's got nothing on flesh-and-blood Pam Grier!",Too bad Bruce Chatwin never made it to the Cool World in all his nomadic wanderings...,141,159,96,https://en.wikipedia.org/wiki/Cool_World,https://www.imdb.com/title/tt0104009/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CoolWorld
117,Interstellar,Christopher Nolan,2014,169,"[""TITLE: Interstellar"", ""TEXT PLACEHOLDER 117""]",Time to choose something different:,Just goes to show that it's always best to consult your concierge about travel times when setting an itinerary!,A bit too epic for me. Got anything with smaller stakes?,"Nicely apocalyptic, but I prefer my apocalypses with a side of radioactive pteranodons. What's the closest thing you've got for me?",190,103,32,https://en.wikipedia.org/wiki/Interstellar_(film),https://www.imdb.com/title/tt0816692/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Interstellar
118,Hotel Rwanda,Terry George,2004,121,"[""TITLE: Hotel Rwanda"", ""TEXT PLACEHOLDER 118""]",Time to choose something different:,Murdering people with swords or machetes is kind of an odd thing to do in our modern world...,"Anyone who runs a hotel can't be all bad, I guess...",Are there deserts in Rwanda? My geography is pretty bad...,64,237,21,https://en.wikipedia.org/wiki/Hotel_Rwanda,https://www.imdb.com/title/tt0395169/,https://tvtropes.org/pmwiki/pmwiki.php/Film/HotelRwanda
119,Everything Everywhere All At Once,Daniel Scheinert and Daniel Kwan,2022,139,"[""TITLE: Everything Everywhere All At Once"", ""TEXT PLACEHOLDER 119""]",Time to choose something different:,"As the name suggests, that was pretty loud and chaotic. Bob Ross is a bit more my speed...",What have we learned? Always be honest with your financial paperwork. White collar crime can get you into trouble!,Knowing martial arts is good for young ladies dating strangers. You never know when you may need to defend yourself!,179,228,222,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,https://www.imdb.com/title/tt6710474/,https://tvtropes.org/pmwiki/pmwiki.php/Film/EverythingEverywhereAllAtOnce
120,Jodorowsky's Dune,Frank Pavich,2013,90,"[""TITLE: Jodorowsky's Dune"", ""TEXT PLACEHOLDER 120""]",Time to choose something different:,More sand please!,"Jodorowsky could probably do a pretty good job telling something a little more focused than Dune, like the adventures of Baron Munchhausen!","On the other hand, I really do NOT want to see Jodorowsky adapting anything by Elmore Leonard!",87,43,159,https://en.wikipedia.org/wiki/Jodorowsky%27s_Dune,https://www.imdb.com/title/tt1935156/,https://tvtropes.org/pmwiki/pmwiki.php/Film/JodorowskysDune
121,Plague Dogs,Martin Rosen,1982,103,"[""TITLE: Plague Dogs"", ""TEXT PLACEHOLDER 121""]",Time to choose something different:,Those poor pooches were facing a pretty hopeless situation. Kinda reminds me of the whole Kobayashi Maru thing from a certain sci-fi series from the 1960s...,I bet a clever advertiser could figure out some brilliant way to use experimental test animals to sell acne medicine,It's a rough world for a dog. Having a good human companion is almost as important as it is for a boy to have a good father figure...,53,20,230,https://en.wikipedia.org/wiki/The_Plague_Dogs_(film),https://www.imdb.com/title/tt0084509/,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThePlagueDogs
122,True Grit,Ethan Coen and Joel Coen,2010,110,"[""TITLE: True Grit"", ""TEXT PLACEHOLDER 122""]",Time to choose something different:,One confident young woman bossing two men with very different personalities around is an interesting dynamic...,"Meh, needs more aliens.",Vengeance can be a pretty powerful motivator!,149,65,158,https://en.wikipedia.org/wiki/True_Grit_(2010_film),https://www.imdb.com/title/tt1403865/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TrueGrit
123,The Wiz,Sidney Lumet,1978,136,"[""TITLE: The Wiz"", ""TEXT PLACEHOLDER 123""]",Time to choose something different:,"We're off to meet the wizard, the wonderful wizard of the Kremlin!",I wonder what the rehearsals looked like when The Wiz was still in development before it hit the stage...,"It's good to be The Wiz, but everybody's gunning for you, especially when there's a poppy epidemic...",104,178,128,https://en.wikipedia.org/wiki/The_Wiz_(film),https://www.imdb.com/title/tt0078504/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheWiz
124,Before the Devil Knows You're Dead,Sidney Lumet,2007,117,"[""TITLE: Before the Devil Knows You're Dead"", ""TEXT PLACEHOLDER 124""]",Time to choose something different:,Drug debts can sure get you in a mess if you're not careful!,"This movie was good, but decidedly lacking i horny, squabbling nuns!","If you're going to do crimes, it's best to keep things within the family!",131,137,6,https://en.wikipedia.org/wiki/Before_the_Devil_Knows_You%27re_Dead,https://www.imdb.com/title/tt0292963/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BeforeTheDevilKnowsYoureDead
125,To Live and Die in LA,William Friedkin,1985,116,"[""TITLE: To Live and Die in LA"", ""TEXT PLACEHOLDER 125""]",Time to choose something different:,"Los Angeles seems like a fast-paced, violent place. Florida is more my speed!","Living on the edge in Los Angeles can be stressful, but is it really worse than middle school?","Would you rather burn to death or go to prison? Well, what if it was a really horny prison?",108,129,41,https://en.wikipedia.org/wiki/To_Live_and_Die_in_L.A._(film),https://www.imdb.com/title/tt0090180/,https://tvtropes.org/pmwiki/pmwiki.php/Film/ToLiveAndDieInLA
126,Bad Lieutenant,Abel Ferrara,1992,96,"[""TITLE: Bad Lieutenant"", ""TEXT PLACEHOLDER 126""]",Time to choose something different:,"Some people handle stress very, very poorly!",I bet women can handle stress a bit better than...that! ,"Uh, let's check back in on the criminals. They gotta be better behaved than the cops!",37,143,155,https://en.wikipedia.org/wiki/Bad_Lieutenant,https://www.imdb.com/title/tt0103759/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BadLieutenant
127,King of New York,Abel Ferrara,1990,109,"[""TITLE: King of New York"", ""TEXT PLACEHOLDER 127""]",Time to choose something different:,The best thing about being King of New York is not having to pay rent!,"Frank may have been a drug kingpin, but at least he wasn't a slimy backstabbing yuppie!",I'd rather get laid in Hiroshima than rule in New York!,4,141,166,https://en.wikipedia.org/wiki/King_of_New_York,https://www.imdb.com/title/tt0099939/,https://tvtropes.org/pmwiki/pmwiki.php/Film/KingOfNewYork
128,New Jack City,Mario Van Peebles,1991,100,"[""TITLE: New Jack City"", ""TEXT PLACEHOLDER 128""]",Time to choose something different:,"I prefer my gangstas many shades whiter and with thick Boston accents, thank you very much!",There's nothing gangsta about stabbing some poor weird feral kid.,All this toxic masculinity! Couldn't they just have a beauty contest instead?,192,15,83,https://en.wikipedia.org/wiki/New_Jack_City,https://www.imdb.com/title/tt0102526/,https://tvtropes.org/pmwiki/pmwiki.php/Film/NewJackCity
129,Welcome to the Dollhouse,Todd Solondz,1995,87,"[""TITLE: Welcome to the Dollhouse"", ""TEXT PLACEHOLDER 129""]",Time to choose something different:,Dawn Weiner would probably have been more popular if she could just learn to shut up and be pretty...,Poor Dawn. At least she didn't have any creeps stalking and mimicking her...,Hooking up with other outsider weirdos probably would have been good for her. Plus I bet she'd be good at splicing film with those long fingers.,196,18,29,https://en.wikipedia.org/wiki/Welcome_to_the_Dollhouse,https://www.imdb.com/title/tt0114906/,https://tvtropes.org/pmwiki/pmwiki.php/Film/WelcomeToTheDollhouse
130,Menace II Society,Allen Hughes and Albert Hughes,1993,97,"[""TITLE: Menace II Society"", ""TEXT PLACEHOLDER 130""]",Time to choose something different:,"Whether you're a gangsta in South Central or some idiot rave kid in Manchester trying to make an album, stay away from crack!",I do love films that have a tragic shootout at the end!,This movie gives me the strange urge to watch 1990s hood films and early surrealist films in an endless loop for some reason!,221,154,14,https://en.wikipedia.org/wiki/Menace_II_Society,https://www.imdb.com/title/tt0107554/,https://tvtropes.org/pmwiki/pmwiki.php/Film/MenaceIISociety
131,Friday,F. Gary Gray,1995,97,"[""TITLE: Friday"", ""TEXT PLACEHOLDER 131""]",Time to choose something different:,"Alcohol and drugs can be dangerous. One minute you've got a good buzz, and then later you wake up hungover and you've bought something stupid at auction...like a wife!",I've heard some strains of weed can make a person more creative...,I've also heard marijuana can be good for digestion. Is there any furniture that has the same effect?,77,32,76,https://en.wikipedia.org/wiki/Friday_(1995_film),https://www.imdb.com/title/tt0113118/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Friday1995
132,Frances Ha,Noah Baumbach,2012,86,"[""TITLE: Frances Ha"", ""TEXT PLACEHOLDER 132""]",Time to choose something different:,"If teaching kids dance doesn't pan out, she could always get a job in a pet cemetery!",Too bad for Frances that someone already took the one job in Paris that was available for experimental dancers/choreographers...,The retro black and white made me feel like I was watching a French New Wave film!,107,244,202,https://en.wikipedia.org/wiki/Frances_Ha,https://www.imdb.com/title/tt2347569/,https://tvtropes.org/pmwiki/pmwiki.php/Film/FrancesHa
133,Killer of Sheep,Charles Burnett,1978,75,"[""TITLE: Killer of Sheep"", ""TEXT PLACEHOLDER 133""]",Time to choose something different:,Getting out of poverty in Watts seems almost as hard as escaping a POW camp!,Interesting peek at the lives of African Americans in Watts. Let's see what things were like for LGBT people in Tokyo in the 1960s next!,Or we could look in on a small theater company instead...,68,161,180,https://en.wikipedia.org/wiki/Killer_of_Sheep,https://www.imdb.com/title/tt0076263/,https://tvtropes.org/pmwiki/pmwiki.php/Film/KillerOfSheep
134,The Hudsucker Proxy,Joel Coen,1994,111,"[""TITLE: The Hudsucker Proxy"", ""TEXT PLACEHOLDER 134""]",Time to choose something different:,I can see why a young person might want to move away from a place like Muncie to try their luck in the city!,"Sometimes putting a new person with radical ideas in charge can work out well, whether you want it to or not!","I know I should probably watch Putney Swope next, but for the moment at least let's listen to some gypsy jazz!",239,104,163,https://en.wikipedia.org/wiki/The_Hudsucker_Proxy,https://www.imdb.com/title/tt0110074/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheHudsuckerProxy
135,Metropolis,Fritz Lang,1927,114,"[""TITLE: Metropolis"", ""TEXT PLACEHOLDER 135""]",Time to choose something different:,Sadly this isn't even close to passing the Bechdel test. Show me something featuring female friendship!,A bit disappointed--I thought this was going to be the animated one!,Got anything else German but a bit noisier and more modern?,160,116,250,https://en.wikipedia.org/wiki/Metropolis_(1927_film),https://www.imdb.com/title/tt0017136/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Metropolis
136,The Red Shoes,Emeric Pressburger and Michael Powell,1948,133,"[""TITLE: The Red Shoes"", ""TEXT PLACEHOLDER 136""]",Time to choose something different:,"So what would have happened if she had just clicked those red shoes together a couple of times while saying ""There's no place like home?""","I don't often say this, but...less ballet, more genocide, please!","Don't ask me why, but I think a low-budget Psycho ripoff would be a nice chaser for this!",44,118,22,https://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film),https://www.imdb.com/title/tt0040725/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheRedShoes1948
137,Black Narcissus,Emeric Pressburger and Michael Powell,1947,100,"[""TITLE: Black Narcissus"", ""TEXT PLACEHOLDER 137""]",Time to choose something different:,Someone should have asked those nuns their opinions on current events!,Those nuns would have more time to fool around if they could read their daily prayers a bit faster!,It felt a bit claustrophobic in that abbey. Show me something where the characters travel a bit more widely!,202,92,117,https://en.wikipedia.org/wiki/Black_Narcissus,https://www.imdb.com/title/tt0039192/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BlackNarcissus
138,Peeping Tom,Michael Powell,1960,86,"[""TITLE: Peeping Tom"", ""TEXT PLACEHOLDER 138""]",Time to choose something different:,That guy would be a very poor maker of documentaries about women!,He needed to be less of a creep and maybe hit the gym.,"I'm fine with a bit of horror, but I prefer haunted houses to slasher flicks!",86,82,177,https://en.wikipedia.org/wiki/Peeping_Tom_(1960_film),https://www.imdb.com/title/tt0054167/,https://tvtropes.org/pmwiki/pmwiki.php/Film/PeepingTom
139,Shivers,David Cronenberg,1975,87,"[""TITLE: Shivers"", ""TEXT PLACEHOLDER 139""]",Time to choose something different:,I feel bad for whoever has to clean up all that parasite vomit orgy mess!,"Sometimes people don't even need some disgusting parasite to make them run around fucking each other, though they might be more surreptitious about it if they aren't infected!","Less body horror, more Cold War paranoia!",31,169,181,https://en.wikipedia.org/wiki/Shivers_(1975_film),https://www.imdb.com/title/tt0073705/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Shivers1975
140,Cosmopolis,David Cronenberg,2012,109,"[""TITLE: Cosmopolis"", ""TEXT PLACEHOLDER 140""]",Time to choose something different:,Rich people suck! Show me some virtuous poverty instead!,This film certainly had some questionable medical practices in it...,"Robert Pattinson is pretty, but is he Antonio Banderas pretty?",248,37,247,https://en.wikipedia.org/wiki/Cosmopolis_(film),https://www.imdb.com/title/tt1480656/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Cosmopolis
141,Bonfire of the Vanities,Brian De Palma,1990,125,"[""TITLE: Bonfire of the Vanities"", ""TEXT PLACEHOLDER 141""]",Time to choose something different:,Bond traders are assholes. I'll take a good civil engineer over ten of those every day!,Even sailors are more tolerable than yuppies!,"Which is scarier--the south Bronx, or rural Canada during a snowstorm?",33,224,233,https://en.wikipedia.org/wiki/The_Bonfire_of_the_Vanities_(film),https://www.imdb.com/title/tt0099165/,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheBonfireOfTheVanities
